Date,Price,Change,% Change,EPS,PER,8X,9.8X,11.6X,13.4X,15.2X,17X
25W01,20.05,-0.1,-0.5%,1.46,13.73,10.22,11.1,11.97,12.85,13.72,14.6
24W52,20.15,+0.1,+0.5%,1.46,13.8,10.22,11.1,11.97,12.85,13.72,14.6
24W51,20.05,-0.45,-2.2%,1.49,13.44,10.44,11.34,12.23,13.13,14.02,14.92
24W50,20.5,-0.8,-3.76%,1.52,13.45,10.67,11.58,12.5,13.41,14.32,15.24
24W49,21.3,+0.4,+1.91%,1.56,13.69,10.89,11.82,12.76,13.69,14.62,15.56
24W48,20.9,0,0%,1.59,13.16,11.11,12.07,13.02,13.97,14.92,15.88
24W47,20.9,+0.05,+0.24%,1.62,12.9,11.34,12.31,13.28,14.25,15.22,16.2
24W46,20.85,+0.3,+1.46%,1.65,12.62,11.56,12.55,13.54,14.53,15.52,16.52
24W45,20.55,-0.1,-0.48%,1.68,12.21,11.78,12.79,13.8,14.81,15.82,16.83
24W44,20.65,+0.6,+2.99%,1.72,12.04,12.01,13.04,14.07,15.1,16.12,17.15
24W43,20.05,-1.1,-5.2%,1.75,11.47,12.23,13.28,14.33,15.38,16.42,17.47
24W42,21.15,-0.1,-0.47%,1.78,11.89,12.45,13.52,14.59,15.66,16.72,17.79
24W41,21.25,-0.1,-0.47%,1.81,11.73,12.68,13.76,14.85,15.94,17.02,18.11
24W40,21.35,+0.05,+0.23%,1.84,11.58,12.9,14.01,15.11,16.22,17.32,18.43
24W39,21.3,-0.3,-1.39%,1.88,11.36,13.12,14.25,15.37,16.5,17.62,18.75
24W38,21.6,-0.4,-1.82%,1.91,11.33,13.35,14.49,15.64,16.78,17.93,19.07
24W37,22,+1.2,+5.77%,1.94,11.35,13.57,14.74,15.9,17.06,18.23,19.39
24W36,20.8,-1.5,-6.73%,1.97,10.55,13.8,14.98,16.16,17.34,18.53,19.71
24W35,22.3,+0.5,+2.29%,2,11.14,14.02,15.22,16.42,17.62,18.83,20.03
24W34,21.8,-0.1,-0.46%,2.03,10.71,14.24,15.46,16.68,17.9,19.13,20.35
24W33,21.9,+0.3,+1.39%,2.07,10.6,14.47,15.71,16.95,18.19,19.43,20.67
24W32,21.6,-2.35,-9.81%,2.1,10.29,14.69,15.95,17.21,18.47,19.73,20.98
24W31,23.95,+0.25,+1.05%,2.13,11.24,14.91,16.19,17.47,18.75,20.03,21.3
24W30,23.7,+0.65,+2.82%,2.16,10.96,15.14,16.43,17.73,19.03,20.33,21.62
24W29,23.05,+0.25,+1.1%,2.19,10.5,15.36,16.68,17.99,19.31,20.63,21.94
24W28,22.8,-1.5,-6.17%,2.23,10.24,15.58,16.92,18.25,19.59,20.93,22.26
24W27,24.3,+0.75,+3.18%,2.26,10.76,15.81,17.16,18.52,19.87,21.23,22.58
